additionalInfos - nr,additionalInfos - namn,additionalInfos - namn2,additionalInfos - modul,additionalInfos - argang,additionalInfos - slutlev,additionalInfos - koscher,additionalInfos - volymiml,additionalInfos - ursprung,additionalInfos - producent,additionalInfos - saljstart,additionalInfos - artikelid,additionalInfos - sortiment,additionalInfos - varnummer,additionalInfos - varugrupp,additionalInfos - ekologisk,additionalInfos - leverantor,additionalInfos - alkoholhalt,additionalInfos - forpackning,additionalInfos - forslutning,additionalInfos - provadargang,additionalInfos - prisinklmoms,additionalInfos - prisperliter,additionalInfos - ursprunglandnamn
157701,St Peter's,G-Free Ale,,, ,0,,England,St Peter's Brewery,2009-04-01,370616,BS,1577,"Öl, Ale",0,Galatea Spirits AB,4.2%,Flaska,,,36.30,,Storbritannien
1134103,Starobrno Premium,,,, ,0,,,Spendrups,2006-04-01,186123,FS,11341,"Öl, Ljus lager",0,Spendrups Bryggeri AB,5%,Flaska,,,13.50,,Tjeckien
167903,Staropramen,,,, ,0,,,Staropramen,1994-02-14,1206,FS,1679,"Öl, Ljus lager",0,Carlsberg Sverige AB,5%,Flaska,,,16.40,,Tjeckien
163203,Staropramen Dark,,,, ,0,,,Staropramen,2003-05-05,40409,FS,1632,"Öl, Mörk lager",0,Carlsberg Sverige AB,4.4%,Flaska,,,16.40,,Tjeckien
160903,Staropramen Granat,,,, ,0,,,Staropramen,2005-04-01,52740,FS,1609,"Öl, Ljus lager",0,Carlsberg Sverige AB,4.8%,Flaska,,,16.40,,Tjeckien
193002,Staropramen,Non-Alcoholic,,, ,0,,,Staropramen,2012-10-01,680440,FSÖ,1930,"Alkoholfritt, Öl",0,Carlsberg Sverige AB,0.5%,Flaska,,,12.40,,Tjeckien
190002,Störtebeker 1402,,,, ,0,,,Stralsunder Brauerei,2009-12-01,417665,FSÖ,1900,"Alkoholfritt, Öl",1,Heba Food & Beverages AB,0.2%,Flaska,,,11.90,,Tyskland
1159903,Störtebeker,Bock-Bier,,, ,0,,,Stralsunder Brauerei,2010-10-01,488500,FS,11599,"Öl, Ljus lager",0,Heba Food & Beverages AB,6.5%,Flaska,,,16.90,,Tyskland
1137903,Stella Artois,,,, ,0,,,InBev,1999-05-03,17905,FS,11379,"Öl, Ljus lager",0,Carlsberg Sverige AB,5%,Flaska,,,14.90,,Belgien
649801,Stoneleigh,Riesling,,2013, ,0,,Marlborough,Stoneleigh Vineyards,2000-07-03,24366,FS,6498,"Vitt vin, Friskt & Fruktigt",0,Pernod Ricard Sweden AB,12%,Flaska,Skruvkapsyl,2013,99.00,,Nya Zeeland
198902,Stowford Press,,,, ,0,,England,H Weston & Sons,2008-05-02,316692,FSÖ,1989,"Alkoholfritt, Cider",0,TOMP Beer Wine & Spirits AB,0.5%,Flaska,,,12.40,,Storbritannien
181902,Strongbow,,,, ,0,,,Stassen SA,2006-04-01,197526,FS,1819,"Cider, Torr och halvtorr",0,GL Brands AB,5.3%,Flaska,,,15.50,,Internationellt märke
